symbol,input_window,MAE_mean,MAE_std,MSE_mean,MSE_std,RMSE_mean,RMSE_std,MAPE_mean,MAPE_std,BDS_pvalue_mean,BDS_pvalue_std
BTCUSDT,7,0.00047764136479538954,0.0001070636927113688,6.170852111947616e-07,2.307583270141118e-07,0.0007440174298369497,0.00013658342843404488,14.002344671094196,3.0824287065473523,0.27121980646757926,0.3032946381308676
BTCUSDT,14,0.0004736933269791653,0.00011375676584871287,6.084738173857246e-07,2.4584675318009167e-07,0.0007384349645577531,0.0001449433737968923,13.588604033861454,3.5113372282027733,0.22998376921573632,0.26704641348930447
BTCUSDT,21,0.0004861452180786231,0.00013764979902201687,6.077342930260901e-07,2.795653578217533e-07,0.0007374623694873349,0.00016123521900692663,14.019337341907235,4.251565881184649,0.18635372192699662,0.2222866820753345
BTCUSDT,28,0.0004862859940650309,0.0001608117381398294,5.841205858772531e-07,3.234905843664828e-07,0.0007189760273454643,0.00018146996208561101,14.319589541381907,5.287969388754572,0.18080252358340096,0.23585129975709432
ETHUSDT,7,0.0005743251425271216,9.501924817260536e-05,1.0613405713182352e-06,2.8038328511164654e-07,0.0009812714425761094,0.000133249574801635,10.918803428293923,1.4284812907812015,0.5099311703761419,0.24008631926672627
ETHUSDT,14,0.0005974780788812995,0.00012012831652810993,1.084644342378653e-06,3.3701243663658493e-07,0.0009929892333544717,0.00016011259458332603,11.13812992761941,1.601373018529816,0.3784855330361781,0.3400424685485014
ETHUSDT,21,0.0005968490200733438,0.00012853254530283283,1.0554391579143373e-06,3.306174914185408e-07,0.0009836134229990066,0.0001629741072149328,11.132526284446744,1.570971711722441,0.3054519731633695,0.21272693880419807
ETHUSDT,28,0.0005674909277324665,9.37138087914247e-05,9.674751156611684e-07,2.9377445111012494e-07,0.0009433943339887766,0.00014694497713861417,10.82884619290731,2.106274927579752,0.30736855396714713,0.18337102239873762
BNBUSDT,7,0.0005452980774373337,0.00022729479635458252,8.532561499876483e-07,5.270770963039436e-07,0.0008578346661921611,0.0002588251554999001,12.592242972856512,5.081183354656946,0.2024245322497591,0.1992313226730525
BNBUSDT,14,0.0006223429196322341,0.00040488943380976856,1.040242041463569e-06,9.62632080374485e-07,0.0009200198603506335,0.00040378393094843044,14.458860862756321,9.9781696804611,0.1944797719846712,0.21503714090696063
BNBUSDT,21,0.0005954438077482066,0.00036377284867961367,9.61447597010799e-07,7.898835260518356e-07,0.0009023275057442371,0.0003592403207527246,13.573191250210803,9.399480784566416,0.14669473079955772,0.20373858598074576
BNBUSDT,28,0.0006072664471893641,0.0003901623549349483,9.64088287537431e-07,8.767282644988189e-07,0.0008942464082848085,0.0003819033942178307,14.0604508121452,10.014868271767769,0.12307764980466537,0.15502996146950657
XRPUSDT,7,0.0007266161788152575,0.0001478504860246864,2.0868278177912957e-06,9.102204470349151e-07,0.0013534528171240056,0.0003093173372287318,11.971635413131676,2.9445512924467336,0.21157228060050332,0.15188959919817022
XRPUSDT,14,0.0007717184099626118,0.00018690949447015189,2.1389241623296963e-06,8.894283253528345e-07,0.0013782257441401296,0.00030597318557772096,12.935519538735559,3.893017917802647,0.1718284140336889,0.138032863585996
XRPUSDT,21,0.000786235790099925,0.00024050745931311225,2.1181438483883247e-06,8.386204652809704e-07,0.0013780029485282567,0.00029946069840113145,13.294459620454086,5.2135435333688465,0.13930348283518953,0.16779241543757223
XRPUSDT,28,0.0007772699106908836,0.0002512253308118944,1.9944417229942357e-06,7.531646758914179e-07,0.0013437273014757299,0.000276510084958154,13.173790838842027,5.519622854164022,0.1365720924102251,0.1516506372238562
SOLUSDT,7,0.0007714011022252995,0.00013428015199969465,1.7090445982469066e-06,7.676438150326503e-07,0.0012303899883707558,0.00026644532204148086,10.481728773869213,1.9709683895488677,0.29960315676733196,0.16995184388866982
SOLUSDT,14,0.0008133750156083353,0.0002485028034276507,1.7821288287932288e-06,1.0021961285364305e-06,0.0012459273018440551,0.00032828471449640624,11.13332469152525,2.9033256244780237,0.33751681667194167,0.17194412894910593
SOLUSDT,21,0.0008646468869760966,0.00037172417324271096,1.9312439418097176e-06,1.3547173411201004e-06,0.0012799361327258938,0.00041086101166291797,11.7235127780658,4.4320012051501285,0.23867009851046284,0.18840422888548483
SOLUSDT,28,0.0009085259846667168,0.0004236028364871363,1.929511251641722e-06,1.4729506231788108e-06,0.0012935232749440597,0.00046692934417277,12.538060641560897,4.968890469423266,0.13586191091216507,0.15651798593984312
