symbol,input_window,fold,train_start,train_end,validation_start,validation_end,test_start,test_end,n_train,n_val,n_test,n_features,n_outputs,train_before_validation,validation_before_test,nan_train,inf_train,nan_val,inf_val,nan_test,inf_test,purged_validation,purged_test
XRPUSDT,28,1,2020-08-12 12:00:00+00:00,2021-07-13 15:00:00+00:00,2021-07-13 16:00:00+00:00,2022-05-29 18:00:00+00:00,2022-05-29 19:00:00+00:00,2023-04-11 23:00:00+00:00,7549,7515,7514,28,7,True,True,0,0,0,0,0,0,34,34
XRPUSDT,28,2,2020-08-12 12:00:00+00:00,2022-05-29 18:00:00+00:00,2022-05-29 19:00:00+00:00,2023-04-11 23:00:00+00:00,2023-04-12 00:00:00+00:00,2024-02-20 11:00:00+00:00,15098,7514,7514,28,7,True,True,0,0,0,0,0,0,34,34
XRPUSDT,28,3,2020-08-12 12:00:00+00:00,2023-04-11 23:00:00+00:00,2023-04-12 00:00:00+00:00,2024-02-20 11:00:00+00:00,2024-02-20 12:00:00+00:00,2024-12-30 23:00:00+00:00,22646,7514,7514,28,7,True,True,0,0,0,0,0,0,34,34
XRPUSDT,28,4,2020-08-12 12:00:00+00:00,2024-02-20 11:00:00+00:00,2024-02-20 12:00:00+00:00,2024-12-30 23:00:00+00:00,2024-12-31 00:00:00+00:00,2025-11-10 11:00:00+00:00,30194,7514,7514,28,7,True,True,0,0,0,0,0,0,34,34
XRPUSDT,28,5,2020-08-12 12:00:00+00:00,2024-12-30 23:00:00+00:00,2024-12-31 00:00:00+00:00,2025-11-10 11:00:00+00:00,2025-11-10 12:00:00+00:00,2026-09-20 23:00:00+00:00,37742,7514,7514,28,7,True,True,0,0,0,0,0,0,34,34
SOLUSDT,7,1,2020-08-12 12:00:00+00:00,2021-07-08 00:00:00+00:00,2021-07-08 01:00:00+00:00,2022-05-23 18:00:00+00:00,2022-05-23 19:00:00+00:00,2023-04-06 11:00:00+00:00,7582,7569,7568,7,7,True,True,0,0,0,0,0,0,13,13
SOLUSDT,7,2,2020-08-12 12:00:00+00:00,2022-05-23 18:00:00+00:00,2022-05-23 19:00:00+00:00,2023-04-06 11:00:00+00:00,2023-04-06 12:00:00+00:00,2024-02-16 08:00:00+00:00,15164,7568,7568,7,7,True,True,0,0,0,0,0,0,13,13
SOLUSDT,7,3,2020-08-12 12:00:00+00:00,2023-04-06 11:00:00+00:00,2023-04-06 12:00:00+00:00,2024-02-16 08:00:00+00:00,2024-02-16 09:00:00+00:00,2024-12-28 05:00:00+00:00,22745,7568,7568,7,7,True,True,0,0,0,0,0,0,13,13
SOLUSDT,7,4,2020-08-12 12:00:00+00:00,2024-02-16 08:00:00+00:00,2024-02-16 09:00:00+00:00,2024-12-28 05:00:00+00:00,2024-12-28 06:00:00+00:00,2025-11-09 02:00:00+00:00,30326,7568,7568,7,7,True,True,0,0,0,0,0,0,13,13
SOLUSDT,7,5,2020-08-12 12:00:00+00:00,2024-12-28 05:00:00+00:00,2024-12-28 06:00:00+00:00,2025-11-09 02:00:00+00:00,2025-11-09 03:00:00+00:00,2026-09-20 23:00:00+00:00,37907,7568,7568,7,7,True,True,0,0,0,0,0,0,13,13
