symbol,best_input_window,dataset,MAE_mean,MAE_std,MSE_mean,MSE_std,RMSE_mean,RMSE_std,MAPE_mean,MAPE_std,R2_mean,R2_std
BTCUSDT,28,TEST,0.0004095397599451603,5.721616606660552e-05,6.239821048766345e-07,1.832216262618715e-07,0.0007451025102898282,0.00010800559929878473,10.00456792906073,0.5912400435615595,0.8874690892087698,0.02442508800019913
ETHUSDT,28,TEST,0.0005291705159820274,8.745859013173523e-05,1.1021572210457041e-06,2.7328822807243875e-07,0.000994025832683071,0.0001294432400159526,9.393733756793754,0.5765697097334488,0.8797096548343175,0.02852069665942832
BNBUSDT,7,TEST,0.00042709873266124596,7.04959862771512e-05,7.822108188507186e-07,3.015777829659572e-07,0.0008281021526509001,0.00016757854380455948,8.52863430474518,0.4185912693477744,0.9090360949108408,0.01556300573074915
XRPUSDT,28,TEST,0.0006100010501207036,7.470331464338862e-05,2.1432135847521956e-06,1.1157926723433745e-06,0.0013507691324003029,0.0003653768418041937,8.912749893088748,0.44444651829167126,0.89973639885078,0.035709314897408556
SOLUSDT,7,TEST,0.0006803762098019668,0.00012352303714582315,1.7276592877323002e-06,7.466719925540802e-07,0.0012291824941354597,0.0002642569827553803,8.204956322378749,0.44028607683240145,0.9089020861316207,0.013740657197825025
