symbol,input_window,fold,dataset,MAE_mean,MSE_mean,RMSE_mean,MAPE_mean,bds_statistic,bds_pvalue
BTCUSDT,14,5,test,0.00038528101530720273,4.2997600144931883e-07,0.0006260787499836352,10.783494994337966,0.5136792869823358,0.6074762357896177
BTCUSDT,21,1,train,0.0006656064997058427,1.1736895387573754e-06,0.0010473386022522113,10.75283326901248,,
BTCUSDT,21,1,validation,0.0006022562154265395,9.52784977944786e-07,0.000936434092164761,10.204275186924422,,
BTCUSDT,21,1,test,0.0007180609568925822,1.0898404876341578e-06,0.001010093656380107,20.98699982122741,2.3618518566729,0.018183907010928976
BTCUSDT,21,2,train,0.0005804371036355156,1.0324766360456587e-06,0.0009758024970544359,8.475303773954952,,
BTCUSDT,21,2,validation,0.0005229668654862578,8.312839463637123e-07,0.000875619949007714,12.679032407692796,,
BTCUSDT,21,2,test,0.00042720823011330715,5.649276980619052e-07,0.0007212773689407431,15.137506143574996,0.7973613115082375,0.4252412216817304
BTCUSDT,21,3,train,0.0006176167975710757,1.015042046005639e-06,0.0009758667339513462,11.50423842399671,,
BTCUSDT,21,3,validation,0.0005472160684870644,6.360514542797268e-07,0.0007772501640490816,20.63997959162478,,
BTCUSDT,21,3,test,0.0005039966460073118,5.572978874463227e-07,0.0007221655673012045,11.998734338375755,2.5828297648115357,0.009799366253775746
BTCUSDT,21,4,train,0.0005843132952778905,9.920589246780588e-07,0.0009615390462746081,11.327151509782002,,
BTCUSDT,21,4,validation,0.00045543887354226284,5.388673852073425e-07,0.0007060313860721378,9.709923099163905,,
BTCUSDT,21,4,test,0.0003892072731533177,4.0288043934203473e-07,0.0006102966659867987,10.8677813124191,2.005156809195024,0.04494628580275424
BTCUSDT,21,5,train,0.0005193597206977978,8.248678571371566e-07,0.0008712469675104803,10.4015553684545,,
BTCUSDT,21,5,validation,0.0003749433304240072,3.9107232107841674e-07,0.0005992083118917958,10.354642304816485,,
BTCUSDT,21,5,test,0.0003922529842265967,4.237249526460302e-07,0.0006234785888278208,11.105665093938908,0.783049867428001,0.4335978288857938
BTCUSDT,28,1,train,0.0006748749433693129,1.1378105586839045e-06,0.0010344544555220031,11.40575984508936,,
BTCUSDT,28,1,validation,0.0006034351865335763,8.867822834333344e-07,0.0009088763372925,10.399335245686569,,
BTCUSDT,28,1,test,0.0007667057581757406,1.1505718866012042e-06,0.0010316484488592764,23.32605658806194,2.3853852054601865,0.017061246164487336
BTCUSDT,28,2,train,0.0005386294161035921,8.88567572197006e-07,0.0009110567829716214,7.947146696234492,,
BTCUSDT,28,2,validation,0.0005190186221062581,7.856914112490593e-07,0.0008538702397174115,12.621090142993713,,
BTCUSDT,28,2,test,0.0004228400124532237,5.133332801479804e-07,0.0006919904135553486,14.863418261009938,0.627395927203135,0.5303997368028999
