symbol,input_window,fold,n_train,n_val,n_test,X_train_shape,y_train_shape,pred_test_shape,n_outputs,scaler_X_fit_rows,scaler_y_fit_rows,scalers_train_only,n_iter,loss,convergence_warning,convergence_messages,other_warnings,bds_statistic,bds_pvalue,bds_status,bds_warnings,bds_calendar_gaps,elapsed_seconds
ETHUSDT,14,5,37852,7550,7550,"(37852, 14)","(37852, 7)","(7550, 7)",7,37852,37852,True,26,0.030058167810970503,False,,,1.2782286605513704,0.20116881333262815,ok,,0,10.423205700004473
ETHUSDT,21,1,7560,7533,7532,"(7560, 21)","(7560, 7)","(7532, 7)",7,7560,7560,True,100,0.027273799193908998,False,,,2.702977750724152,0.0068721346241317075,ok,,1,9.01376869995147
ETHUSDT,21,2,15120,7532,7532,"(15120, 21)","(15120, 7)","(7532, 7)",7,15120,15120,True,46,0.03202083820603232,False,,,1.2171261541173748,0.22355622110580453,ok,,0,8.865232300013304
ETHUSDT,21,3,22679,7532,7532,"(22679, 21)","(22679, 7)","(7532, 7)",7,22679,22679,True,56,0.03010450566444957,False,,,1.0835817164219914,0.2785503010797886,ok,,0,12.904146700166166
ETHUSDT,21,4,30238,7532,7532,"(30238, 21)","(30238, 7)","(7532, 7)",7,30238,30238,True,31,0.028178012681692125,False,,,0.6187391023320044,0.5360882458609701,ok,,0,11.236956699984148
ETHUSDT,21,5,37797,7532,7532,"(37797, 21)","(37797, 7)","(7532, 7)",7,37797,37797,True,51,0.029501398291955985,False,,,0.7027798392798924,0.48219296314615234,ok,,0,17.466512799961492
ETHUSDT,28,1,7549,7515,7514,"(7549, 28)","(7549, 7)","(7514, 7)",7,7549,7549,True,91,0.026123751329044976,False,,,2.599087037483367,0.009347206986512506,ok,,1,9.954655099892989
ETHUSDT,28,2,15098,7514,7514,"(15098, 28)","(15098, 7)","(7514, 7)",7,15098,15098,True,104,0.026466269260740218,False,,,1.116396597025119,0.26425240951068085,ok,,0,16.590568999992684
ETHUSDT,28,3,22646,7514,7514,"(22646, 28)","(22646, 7)","(7514, 7)",7,22646,22646,True,92,0.026490617384316302,False,,,0.8655998791169849,0.38670962192081715,ok,overflow encountered in scalar subtract,0,19.973869900219142
ETHUSDT,28,4,30194,7514,7514,"(30194, 28)","(30194, 7)","(7514, 7)",7,30194,30194,True,61,0.02517620456552924,False,,,0.8453927950169043,0.39789156592667085,ok,,0,17.66953630000353
ETHUSDT,28,5,37742,7514,7514,"(37742, 28)","(37742, 7)","(7514, 7)",7,37742,37742,True,88,0.026411701307993432,False,,,0.7084884769615981,0.4786419654910544,ok,,0,28.457476899959147
BNBUSDT,7,1,7582,7569,7568,"(7582, 7)","(7582, 7)","(7568, 7)",7,7582,7582,True,82,0.02520339000406439,False,,,1.7266743168652563,0.08422617070718395,ok,overflow encountered in scalar subtract,1,8.966249100165442
BNBUSDT,7,2,15164,7568,7568,"(15164, 7)","(15164, 7)","(7568, 7)",7,15164,15164,True,30,0.027221581833973402,False,,,1.4586800143985494,0.14465319932432016,ok,,0,8.080949699971825
BNBUSDT,7,3,22745,7568,7568,"(22745, 7)","(22745, 7)","(7568, 7)",7,22745,22745,True,48,0.025971901284583786,False,,,2.217449138953996,0.026592414978587196,ok,,0,11.240613200003281
BNBUSDT,7,4,30326,7568,7568,"(30326, 7)","(30326, 7)","(7568, 7)",7,30326,30326,True,29,0.024960159643947002,False,,,1.220337916441988,0.22233680180033266,ok,,0,10.60675960010849
BNBUSDT,7,5,37907,7568,7568,"(37907, 7)","(37907, 7)","(7568, 7)",7,37907,37907,True,21,0.02530813894772264,False,,,0.6214340498480231,0.5343140744383715,ok,,0,10.87415389996022
BNBUSDT,14,1,7571,7551,7550,"(7571, 14)","(7571, 7)","(7550, 7)",7,7571,7571,True,61,0.02613982762407471,False,,,3.5195103366964013,0.00043234418854386653,ok,,1,7.750282599823549
BNBUSDT,14,2,15142,7550,7550,"(15142, 14)","(15142, 7)","(7550, 7)",7,15142,15142,True,51,0.026415833679772606,False,,,1.211887147950704,0.22555558245747853,ok,,0,9.872654299950227
BNBUSDT,14,3,22712,7550,7550,"(22712, 14)","(22712, 7)","(7550, 7)",7,22712,22712,True,83,0.025324773898632972,False,,,2.472922726874441,0.013401311617765657,ok,,0,15.5370068999473
BNBUSDT,14,4,30282,7550,7550,"(30282, 14)","(30282, 7)","(7550, 7)",7,30282,30282,True,35,0.02558617111668688,False,,,1.276928842790436,0.20162737019773302,ok,,0,9.64533090009354
