symbol,best_input_window,model,MAE_mean,MSE_mean,RMSE_mean,MAPE_mean,R2_mean,RMSE_improvement_pct
BTCUSDT,28,MLP,0.0004862859940650309,5.841205858772533e-07,0.0007189760273454642,14.319589541381905,0.8979403035313787,1.8568457248374315
BTCUSDT,28,Persistence,0.00040265624852563956,6.031827013807473e-07,0.000732578887091484,10.00456792906073,0.8874690892087698,0.0
ETHUSDT,28,MLP,0.0005674909277324664,9.674751156611684e-07,0.0009433943339887766,10.82884619290731,0.8925821109309974,3.471130271258823
ETHUSDT,28,Persistence,0.000520276260415428,1.0654186470108469e-06,0.000977318326258081,9.393733756793754,0.8797096548343175,0.0
BNBUSDT,7,MLP,0.0005452980774373337,8.532561499876483e-07,0.0008578346661921611,12.592242972856512,0.9025109720004902,-5.361345352797783
BNBUSDT,7,Persistence,0.00041992009143742415,7.56137124889028e-07,0.0008141834781244866,8.52863430474518,0.9090360949108408,0.0
XRPUSDT,28,MLP,0.0007772699106908836,1.9944417229942357e-06,0.0013437273014757299,13.173790838842027,0.8965260315065386,-1.179293347912575
XRPUSDT,28,Persistence,0.000599748201422966,2.0717731319271223e-06,0.0013280655132223774,8.91274989308875,0.89973639885078,0.0
SOLUSDT,7,MLP,0.0007714011022252995,1.7090445982469066e-06,0.0012303899883707556,10.481728773869213,0.906606331897281,-1.8094404592172981
SOLUSDT,7,Persistence,0.0006689405010679254,1.6700706448078925e-06,0.0012085224934161422,8.20495632237875,0.9089020861316207,0.0
