symbol,input_window,fold,dataset,horizon,MAE,MSE,RMSE,MAPE
BTCUSDT,7,2,train,4,0.000596095774883697,1.0715347543449238e-06,0.001035149628964298,8.661685671315004
BTCUSDT,7,2,train,5,0.0007087573429643629,1.3898508577033585e-06,0.0011789193601359504,10.328087213744206
BTCUSDT,7,2,train,6,0.0008174236877489292,1.7317617825816105e-06,0.0013159642026216406,11.735200333661941
BTCUSDT,7,2,train,7,0.0009085795829824109,2.06480509573239e-06,0.0014369429688517183,13.012530263962411
BTCUSDT,7,2,validation,1,0.00021310144303251447,1.9909868657898723e-07,0.00044620475857949703,5.220112342692216
BTCUSDT,7,2,validation,2,0.00031046941654176116,4.0847827064174693e-07,0.000639123048122775,6.623482883553609
BTCUSDT,7,2,validation,3,0.00044723673601561017,6.528922223041157e-07,0.0008080174641083667,10.738619123025023
BTCUSDT,7,2,validation,4,0.0005317324971942361,8.825553437009632e-07,0.0009394441674208016,12.232628687720618
BTCUSDT,7,2,validation,5,0.0006525702250956636,1.1422813090644818e-06,0.001068775612120936,16.17793147674273
BTCUSDT,7,2,validation,6,0.0007459075739146816,1.3920358193424956e-06,0.001179845676070602,18.301677733267333
BTCUSDT,7,2,validation,7,0.0008365460724714711,1.6550240734128002e-06,0.0012864773893904238,20.70246030600323
BTCUSDT,7,2,test,1,0.0001760242290697458,1.3913145557086687e-07,0.00037300329163543163,6.475768761669455
BTCUSDT,7,2,test,2,0.00023662285975519545,2.7207896101911253e-07,0.0005216118873445203,7.146077473279995
BTCUSDT,7,2,test,3,0.000363189177493765,4.4561608971630076e-07,0.000667544822252634,13.031766962867758
BTCUSDT,7,2,test,4,0.00042336388239016994,5.994853430585049e-07,0.0007742643883445143,14.52229009774672
BTCUSDT,7,2,test,5,0.0005475197307101448,7.919822165295504e-07,0.0008899338270509501,20.456502140702554
BTCUSDT,7,2,test,6,0.0006262449358158757,9.629941914563622e-07,0.0009813226744839652,23.221855298118264
BTCUSDT,7,2,test,7,0.000709285481310299,1.1564100385192643e-06,0.0010753650722053717,26.508909720252667
BTCUSDT,7,3,train,1,0.0003621680942786175,3.0791438240798e-07,0.000554900335563045,7.881491015803524
BTCUSDT,7,3,train,2,0.00047258053026877264,5.585366653126726e-07,0.0007473531061771755,9.570304167099607
BTCUSDT,7,3,train,3,0.0005795413403136958,8.324815846709463e-07,0.0009124042879507671,11.737036964021835
BTCUSDT,7,3,train,4,0.0006447538351765156,1.079909238603742e-06,0.0010391868160267153,11.607164804504999
BTCUSDT,7,3,train,5,0.00072672543205019,1.3526217433049303e-06,0.0011630226753184696,12.9973467372543
BTCUSDT,7,3,train,6,0.0008233341664604783,1.6365945776217877e-06,0.0012792945624920742,15.182687613654878
BTCUSDT,7,3,train,7,0.0008801514273830597,1.905529470937855e-06,0.00138040916794183,15.370702552145158
BTCUSDT,7,3,validation,1,0.00043051071305047353,3.0067759540806254e-07,0.0005483407657725828,18.85449587678469
BTCUSDT,7,3,validation,2,0.0004935881617953374,4.3749431201517566e-07,0.0006614335280397991,20.273918564642614
BTCUSDT,7,3,validation,3,0.0006003429663000263,6.517675406327689e-07,0.0008073212127974645,24.96512021109561
BTCUSDT,7,3,validation,4,0.0005376773040778393,6.589123614869495e-07,0.000811734169224722,20.303814359074355
BTCUSDT,7,3,validation,5,0.0005991169243172494,8.139567239805963e-07,0.0009021955020839975,22.56795935869013
BTCUSDT,7,3,validation,6,0.0007210153392651417,1.048736677599411e-06,0.0010240784528537895,27.913576375220583
BTCUSDT,7,3,validation,7,0.0006969436943989164,1.1210359827204934e-06,0.001058789867122128,25.427622407038346
BTCUSDT,7,3,test,1,0.00033224869114149375,1.952293648539588e-07,0.00044184767154977606,9.031512329719249
BTCUSDT,7,3,test,2,0.00041445089283832857,3.315161703368614e-07,0.0005757744092410338,10.71953994336018
BTCUSDT,7,3,test,3,0.0005037777925991283,5.011276897415467e-07,0.0007079037291479306,12.956003287951178
BTCUSDT,7,3,test,4,0.0005238499960532315,6.041098507462797e-07,0.0007772450390618647,12.267445284919546
BTCUSDT,7,3,test,5,0.0005897043743499836,7.584208030749432e-07,0.0008708735861621612,13.754435841822572
BTCUSDT,7,3,test,6,0.0006807242284018704,9.401225435787223e-07,0.0009695991664490653,16.248742177672785
BTCUSDT,7,3,test,7,0.0007108839297937329,1.0734344446689699e-06,0.0010360668147706353,16.18493580231448
BTCUSDT,7,4,train,1,0.0002584592199849781,2.3521263532303844e-07,0.00048498725274283077,4.790816593917565
BTCUSDT,7,4,train,2,0.00035972706592441936,4.4234813549334846e-07,0.000665092576633771,7.312111732560657
BTCUSDT,7,4,train,3,0.00047897931410676716,7.058089924618653e-07,0.0008401243910647193,9.190599687637338
BTCUSDT,7,4,train,4,0.0005947865975817518,9.724491626225229e-07,0.0009861283702553754,11.777308294292354
BTCUSDT,7,4,train,5,0.0006855321348982053,1.24583675114856e-06,0.0011161705743964764,13.584276645903886
BTCUSDT,7,4,train,6,0.0007826496383921753,1.5252888862434813e-06,0.001235025864605062,16.16067884900928
BTCUSDT,7,4,train,7,0.0008751727753221675,1.84408966345604e-06,0.0013579726298626345,17.846592184153355
BTCUSDT,7,4,validation,1,0.00019991884409470442,1.233096958311558e-07,0.0003511548032295099,4.117920765124171
BTCUSDT,7,4,validation,2,0.0002931382979909906,2.55640086601782e-07,0.0005056086298727327,6.355906669443952
BTCUSDT,7,4,validation,3,0.00039315649389782956,4.166531307202584e-07,0.0006454867393837448,8.269639540643896
BTCUSDT,7,4,validation,4,0.0004904768030720984,5.850465809561602e-07,0.0007648833773564178,10.551205801961583
BTCUSDT,7,4,validation,5,0.0005662300664991825,7.486634856966452e-07,0.0008652534228170642,12.183624150740647
BTCUSDT,7,4,validation,6,0.000643241732513241,9.130113612883925e-07,0.0009555162799703585,14.250110007957378
BTCUSDT,7,4,validation,7,0.0007156291017102996,1.0886996880125644e-06,0.0010434077285570414,15.791881233562165
BTCUSDT,7,4,test,1,0.00016780629271722725,9.400458393331574e-08,0.0003066016698149502,4.551407722149891
BTCUSDT,7,4,test,2,0.0002569038209946332,1.9656624267800786e-07,0.0004433579171256648,7.3665249594421525
BTCUSDT,7,4,test,3,0.0003274335130765226,3.078162681223384e-07,0.0005548119213952945,8.934029486742979
BTCUSDT,7,4,test,4,0.00042117792614395743,4.37237500648988e-07,0.0006612393671349188,11.961034780053785
BTCUSDT,7,4,test,5,0.0004843950924425169,5.617083693673127e-07,0.0007494720604314164,13.717021925600118
BTCUSDT,7,4,test,6,0.0005731977044042285,7.105972241760715e-07,0.0008429692901737711,16.936815972216802
BTCUSDT,7,4,test,7,0.0006363937131170869,8.491009985043185e-07,0.0009214667647312726,18.767930928375808
BTCUSDT,7,5,train,1,0.00019397928552026975,1.8191220847421442e-07,0.00042651167448759763,3.6623152855545236
BTCUSDT,7,5,train,2,0.00031169109389774197,3.864860324777278e-07,0.0006216800081052372,5.8616248150106225
BTCUSDT,7,5,train,3,0.00042534258116943565,6.094722310454028e-07,0.0007806870250269327,8.272314144148678
BTCUSDT,7,5,train,4,0.0005266227834465141,8.357262846598869e-07,0.0009141806630310481,10.4782267242254
BTCUSDT,7,5,train,5,0.0006278480018044758,1.0829337856561432e-06,0.0010406410455369051,12.690847958373721
BTCUSDT,7,5,train,6,0.00070979252935997,1.326270691611429e-06,0.0011516382642181655,14.064092910849121
BTCUSDT,7,5,train,7,0.000792088250222159,1.5655424546904997e-06,0.0012512163900343137,16.041754625156145
BTCUSDT,7,5,validation,1,0.00013486559450609617,8.442578730070801e-08,0.00029056115931195626,3.507798946264125
