symbol,input_window,fold,n_train,n_val,n_test,X_train_shape,y_train_shape,pred_test_shape,n_outputs,scaler_X_fit_rows,scaler_y_fit_rows,scalers_train_only,n_iter,loss,convergence_warning,convergence_messages,other_warnings,bds_statistic,bds_pvalue,bds_status,bds_warnings,bds_calendar_gaps,elapsed_seconds
ETHUSDT,14,5,37852,7550,7550,"(37852, 14)","(37852, 7)","(7550, 7)",7,37852,37852,True,26,0.030058167810970735,False,,,1.2782286605513704,0.20116881333262815,ok,,0,11.926639300072566
ETHUSDT,21,1,7560,7533,7532,"(7560, 21)","(7560, 7)","(7532, 7)",7,7560,7560,True,100,0.027273799193909338,False,,,2.702977750724152,0.0068721346241317075,ok,,1,11.570623400155455
ETHUSDT,21,2,15120,7532,7532,"(15120, 21)","(15120, 7)","(7532, 7)",7,15120,15120,True,46,0.03202083820603147,False,,,1.2171261541173748,0.22355622110580453,ok,,0,9.124398699961603
ETHUSDT,21,3,22679,7532,7532,"(22679, 21)","(22679, 7)","(7532, 7)",7,22679,22679,True,56,0.030104505664449575,False,,,1.0835817164219914,0.2785503010797886,ok,,0,10.348075699992478
ETHUSDT,21,4,30238,7532,7532,"(30238, 21)","(30238, 7)","(7532, 7)",7,30238,30238,True,31,0.02817801268169219,False,,,0.6187391023320044,0.5360882458609701,ok,,0,9.061994099989533
ETHUSDT,21,5,37797,7532,7532,"(37797, 21)","(37797, 7)","(7532, 7)",7,37797,37797,True,51,0.029501398291955975,False,,,0.7027798392798924,0.48219296314615234,ok,,0,13.007071600062773
ETHUSDT,28,1,7549,7515,7514,"(7549, 28)","(7549, 7)","(7514, 7)",7,7549,7549,True,91,0.026123751329052397,False,,,2.599087037483367,0.009347206986512506,ok,,1,8.128227999899536
ETHUSDT,28,2,15098,7514,7514,"(15098, 28)","(15098, 7)","(7514, 7)",7,15098,15098,True,104,0.026466269260740208,False,,,1.116396597025119,0.26425240951068085,ok,,0,11.429180499864742
ETHUSDT,28,3,22646,7514,7514,"(22646, 28)","(22646, 7)","(7514, 7)",7,22646,22646,True,92,0.026490617384316215,False,,,0.8655998791169849,0.38670962192081715,ok,overflow encountered in scalar subtract,0,14.822227299911901
ETHUSDT,28,4,30194,7514,7514,"(30194, 28)","(30194, 7)","(7514, 7)",7,30194,30194,True,61,0.025176204565529218,False,,,0.8453927950169043,0.39789156592667085,ok,,0,13.217485500033945
ETHUSDT,28,5,37742,7514,7514,"(37742, 28)","(37742, 7)","(7514, 7)",7,37742,37742,True,88,0.026411701307993644,False,,,0.7084884769615981,0.4786419654910544,ok,,0,21.37706149998121
BNBUSDT,7,1,7582,7569,7568,"(7582, 7)","(7582, 7)","(7568, 7)",7,7582,7582,True,82,0.025203390004064352,False,,,1.7266743168652563,0.08422617070718395,ok,overflow encountered in scalar subtract,1,6.666833600029349
BNBUSDT,7,2,15164,7568,7568,"(15164, 7)","(15164, 7)","(7568, 7)",7,15164,15164,True,30,0.02722158183397338,False,,,1.4586800143985494,0.14465319932432016,ok,,0,5.980037600034848
BNBUSDT,7,3,22745,7568,7568,"(22745, 7)","(22745, 7)","(7568, 7)",7,22745,22745,True,48,0.02597190128458374,False,,,2.217449138953996,0.026592414978587196,ok,,0,8.979605300119147
BNBUSDT,7,4,30326,7568,7568,"(30326, 7)","(30326, 7)","(7568, 7)",7,30326,30326,True,29,0.024960159643947,False,,,1.220337916441988,0.22233680180033266,ok,,0,8.395096200052649
BNBUSDT,7,5,37907,7568,7568,"(37907, 7)","(37907, 7)","(7568, 7)",7,37907,37907,True,21,0.025308138947722724,False,,,0.6214340498480231,0.5343140744383715,ok,,0,8.000314000062644
BNBUSDT,14,1,7571,7551,7550,"(7571, 14)","(7571, 7)","(7550, 7)",7,7571,7571,True,61,0.026139827624074737,False,,,3.5195103366964013,0.00043234418854386653,ok,,1,6.455501100048423
BNBUSDT,14,2,15142,7550,7550,"(15142, 14)","(15142, 7)","(7550, 7)",7,15142,15142,True,51,0.026415833679772655,False,,,1.211887147950704,0.22555558245747853,ok,,0,7.490963199874386
