symbol,best_input_window,RMSE_mean,RMSE_std,MAE_mean,MAE_std,MAPE_mean,MAPE_std,MSE_mean,MSE_std,BDS_pvalue_mean,BDS_pvalue_std
BTCUSDT,28,0.0007312671061778,0.0001845722374319,0.0004945991773445,0.000163560855876,14.31958954138831,5.287969388768117,6.042626750259671e-07,3.346454320606482e-07,0.1808025235834009,0.2358512997570943
ETHUSDT,28,0.0009595219011006,0.0001494570390571,0.0005771923300969,9.531587029016912e-05,10.828846192907438,2.1062749275797588,1.0008363265460483e-06,3.03904604596703e-07,0.3073685539671471,0.1833710223987376
BNBUSDT,7,0.0008724995689284,0.0002632498376451,0.0005546200873572,0.0002311804589564,12.592242972856562,5.081183354657074,8.826787758492946e-07,5.452521685902933e-07,0.2024245322497591,0.1992313226730525
XRPUSDT,28,0.0013666986629243,0.0002812370954898,0.0007905575383531,0.0002555200920129,13.173790838842104,5.519622854164136,2.0632155755113024e-06,7.791358716118225e-07,0.1365720924102251,0.1516506372238562
SOLUSDT,7,0.0012514238195019,0.0002710002728802,0.0007845884011077,0.0001365757054974,10.48172877386926,1.970968389548835,1.7679771706002514e-06,7.941142914130866e-07,0.2996031567673319,0.1699518438886698
