symbol,input_window,fold,horizon,MAE,MSE,RMSE,MAPE,R2
BTCUSDT,28,1,1,0.00015490084016808349,1.7893911827647107e-07,0.00042301195996859365,3.207180961962823,0.9817067736466217
BTCUSDT,28,1,2,0.00027882329309395626,3.9350216259739575e-07,0.0006272975072462792,5.822302508501734,0.959773804130248
BTCUSDT,28,1,3,0.0003902955848953602,6.266973392710619e-07,0.0007916421788100113,8.187817354702673,0.9359385148475232
BTCUSDT,28,1,4,0.0004923511250819349,8.668615699015389e-07,0.0009310540101957238,10.380549123201963,0.9113930769432014
BTCUSDT,28,1,5,0.0005881972174718635,1.1179050341081468e-06,0.0010573102827969407,12.465113437788974,0.8857377546469605
BTCUSDT,28,1,6,0.0006796683258044565,1.3765100744170555e-06,0.0011732476611598487,14.456527717432893,0.8593105157457294
BTCUSDT,28,1,7,0.0007672116796408324,1.641082337274545e-06,0.0012810473594971207,16.393213138908163,0.8322763131278275
BTCUSDT,28,2,1,0.00011462569776946082,1.1889349459291438e-07,0.0003448093597814804,3.3537819954153045,0.9701303580748535
BTCUSDT,28,2,2,0.0002078898834901899,2.6328192612230876e-07,0.0005131100526420319,6.087908432490703,0.9338553090021251
BTCUSDT,28,2,3,0.00029375961960221534,4.2076376534013933e-07,0.0006486630599472575,8.64490207941703,0.8942903858133361
BTCUSDT,28,2,4,0.0003747271212631018,5.883272421724251e-07,0.0007670249293030997,11.10698429557688,0.8521925807975809
BTCUSDT,28,2,5,0.00045146508971274815,7.620040304414092e-07,0.0008729284222898285,13.469640281366333,0.8085588695136825
BTCUSDT,28,2,6,0.0005243707571767093,9.457365764884247e-07,0.0009724898850314201,15.770613796913368,0.7623898723330556
BTCUSDT,28,2,7,0.0005933275551217259,1.1364681069794587e-06,0.0010660525817141754,17.98380254449333,0.7144582915268012
BTCUSDT,28,3,1,0.00014527403188794696,1.084631631383578e-07,0.0003293374608791988,3.0971509722219817,0.9801847889514427
BTCUSDT,28,3,2,0.00026023177092373694,2.546577034133803e-07,0.000504636208979677,5.569400931008004,0.9534761236316339
BTCUSDT,28,3,3,0.0003656331736377865,4.221283338004367e-07,0.0006497140400210208,7.846812600156089,0.9228798815463153
BTCUSDT,28,3,4,0.00046177541774328077,5.998099495550028e-07,0.0007744739824906985,9.951154169643663,0.8904175396968845
BTCUSDT,28,3,5,0.0005504030925323944,7.863344692299463e-07,0.00088675502210585,11.91550255788075,0.8563511060894956
BTCUSDT,28,3,6,0.0006334191813121618,9.77916355216517e-07,0.0009888965341311076,13.785615570222404,0.8213662911778086
BTCUSDT,28,3,7,0.0007114533622904599,1.1793888304629317e-06,0.0010859966991031472,15.562172479853695,0.784580801740699
BTCUSDT,28,4,1,0.00011570442873490676,8.052283733656071e-08,0.0002837654618458009,3.03054483982517,0.9828017634738803
BTCUSDT,28,4,2,0.00020643673770054136,1.8433149929222882e-07,0.0004293384437622944,5.388671239945189,0.9606295951513717
BTCUSDT,28,4,3,0.00028788082233460575,3.003403295708993e-07,0.000548033146416254,7.518564526855326,0.9358510218669167
BTCUSDT,28,4,4,0.00036458496373372254,4.242090835311136e-07,0.0006513133527965734,9.548334260762635,0.9093931710880555
BTCUSDT,28,4,5,0.0004373321614658143,5.57892922459161e-07,0.0007469223001485235,11.49107417430989,0.8808382745734789
BTCUSDT,28,4,6,0.0005057322431438108,6.9598034732231e-07,0.0008342543660792612,13.337697075159305,0.8513420073662844
BTCUSDT,28,4,7,0.0005692548575791998,8.37245617801553e-07,0.000915011266488863,15.074800017768771,0.8211662242699169
BTCUSDT,28,5,1,0.00011955708333125923,8.647308447489438e-08,0.0002940630620715468,3.1641338967296235,0.9790229807481428
BTCUSDT,28,5,2,0.00021302837661018226,1.9637813504879646e-07,0.00044314572665072206,5.66675501502191,0.9523646896112115
BTCUSDT,28,5,3,0.0002980030902208312,3.188774357292433e-07,0.0005646923372326238,7.974760698143428,0.9226548379524672
BTCUSDT,28,5,4,0.000377618521411931,4.5386820912441494e-07,0.000673697416593247,10.185787680455965,0.8899194234798596
BTCUSDT,28,5,5,0.0004516671524180006,5.9392290768942e-07,0.0007706639395283914,12.277028190988924,0.8559606764156606
BTCUSDT,28,5,6,0.0005206930693259753,7.368851778298625e-07,0.0008584201639231586,14.267374343827385,0.8213010031707781
BTCUSDT,28,5,7,0.000585671369766199,8.787953783158294e-07,0.000937440866570169,16.17620460817331,0.7869035001550919
ETHUSDT,28,1,1,0.00020026125960262173,2.7014422572873694e-07,0.0005197540050146193,3.0537549384155587,0.9840434753613598
ETHUSDT,28,1,2,0.00035387399777101825,5.73239374056561e-07,0.0007571257320000167,5.417139546358759,0.9661431958295065
ETHUSDT,28,1,3,0.0004905139055193544,9.106877394390173e-07,0.0009542996067478061,7.51339711724164,0.9462162105236354
ETHUSDT,28,1,4,0.0006133583034905567,1.253515715772238e-06,0.0011196051606580945,9.405372208934509,0.9259739919731244
ETHUSDT,28,1,5,0.000726540015767687,1.6078654611004328e-06,0.0012680163489089693,11.154886313801606,0.9050539760634141
ETHUSDT,28,1,6,0.0008330417545242996,1.962942759540566e-06,0.00140105059135656,12.799244208190528,0.884096812270501
ETHUSDT,28,1,7,0.000934029470974132,2.3275079656891826e-06,0.0015256172408861872,14.380446367440653,0.8625854224870728
ETHUSDT,28,2,1,0.00012340892203241888,1.3468381186849972e-07,0.00036699293163288543,3.1809129919604238,0.9697919023003964
ETHUSDT,28,2,2,0.00021933208675403829,3.03385040836404e-07,0.000550803994935044,5.6622232327303985,0.9319550756830586
ETHUSDT,28,2,3,0.0003066330334367523,4.821606693611473e-07,0.0006943779009740642,7.936869598452533,0.8918600037964723
ETHUSDT,28,2,4,0.0003887544281476475,6.693025147844305e-07,0.0008181091093395982,10.092195185900561,0.849889307941443
ETHUSDT,28,2,5,0.0004662247820434201,8.644559741227661e-07,0.0009297612457630002,12.146282741084722,0.8061234354786457
ETHUSDT,28,2,6,0.0005400081019647639,1.0689633022072577e-06,0.0010339068150502044,14.127685448091043,0.7602535479996099
ETHUSDT,28,2,7,0.0006099833903433122,1.2827236041675229e-06,0.0011325738846395508,16.012468656232222,0.7123046372005093
